지역,일퀘이름,난이도(1-7)
여로,기쁨의 에르다스 200마리 처치,3
여로,분노의 에르다스 200마리 처치,2
여로,슬픔의 에르다스 200마리 처치,2
여로,즐거움의 에르다스 200마리 처치,3
여로,기쁨의 에르다 샘플 50개 수집,3
여로,분노의 에르다 샘플 50개 수집,4
여로,슬픔의 에르다 샘플 50개 수집,4
여로,즐거움의 에르다 샘플 50개 수집,3
여로,망각 억제제 30개 전달,1
여로,암석의 에르다스 200마리 처치,3
여로,화염의 에르다스 200마리 처치,2
여로,강인한 영혼의 에르다스 200마리 처치,3
여로,암석의 에르다 샘플 50개 수집,4
여로,화염의 에르다 샘플 50개 수집,3
여로,강인한 영혼의 에르다 샘플 50개 수집,4
여로,소멸 억제제 30개 전달,1
여로,안식의 에르다스 200마리 처치,4
여로,에르다스의 등불 130마리 처치,4
여로,안식의 에르다 샘플 50개 수집,5
여로,등불의 에르다 샘플 33개 수집,5
여로,안식 억제제 30개 전달,1
여로,트라 200마리 퇴치,1
여로,몬토 200마리 퇴치,1
여로,수색형 T드론 A형 200마리 퇴치,3
여로,수색형 T드론 B형 200마리 퇴치,3
여로,T-Boy의 부품 50개 수집,4
여로,전투형 T드론 A형 200마리 퇴치,3
여로,전투형 T드론 B형 200마리 퇴치,3
여로,섬멸형 T드론 A형 200마리 퇴치,7
여로,섬멸형 T드론 B형 200마리 퇴치,7
츄츄,,
츄츄,핥의 레시피 50개 회수,2
츄츄,수상한 단추 50개 회수,2
츄츄,파인디어 200마리 퇴치,2
츄츄,큰뿔 파인디어 200마리 퇴치,2
츄츄,유나나 200마리 퇴치,2
츄츄,램나나 200마리 퇴치,3
츄츄,플리온 200마리 퇴치,5
츄츄,성난 플리온 200마리 퇴치,5
츄츄,설익은 울프룻 200마리 퇴치,4
츄츄,잘익은 울프룻 200마리 퇴치,4
츄츄,그린 캣피쉬 200마리 퇴치,3
츄츄,블루 캣피쉬 200마리 퇴치,3
츄츄,라이터틀 200마리 퇴치,1
츄츄,대장 라이터틀 200마리 퇴치,1
츄츄,크릴라 200마리 퇴치,5
츄츄,족장 크릴라 200마리 퇴치,5
츄츄,버샤크 200마리 퇴치,6
츄츄,족장 버샤크 200마리 퇴치,6
츄츄,버쉬룸 200마리 퇴치,1
츄츄,몽키록 200마리 퇴치,2
츄츄,스톤피 200마리 퇴치,5
츄츄,라이톤 200마리 퇴치,6
츄츄,쿰파이더 200마리 퇴치,7
츄츄,다람뇽 200마리 퇴치,7
레헬른,,
레헬른,종이봉투 뒷골목 주민 200마리 퇴치,1
레헬른,나무판자 뒷골목 주민 200마리 퇴치,1
레헬른,갈리나 200마리 퇴치,2
레헬른,갈루스 200마리 퇴치,2
레헬른,성난 우승접시 200마리 퇴치,3
레헬른,비뚤어진 우승접시 200마리 퇴치,3
레헬른,성난 무도회주민 200마리 퇴치,2
레헬른,광기의 무도회주민 200마리 퇴치,1
레헬른,약화된 클리너 200마리 퇴치,2
레헬른,춤추는 빨간구두 200마리 퇴치 ,4
레헬른,클리너 200마리 퇴치,5
레헬른,푸른 눈의 가고일 200마리 퇴치,6
레헬른,붉은 눈의 가고일 200마리 퇴치,7
아르카나,,
아르카나,물의 정령 200마리 퇴치,3
아르카나,햇살의 정령 200마리 퇴치,2
아르카나,흙의 정령 200마리 퇴치,7
아르카나,서리구름의 정령 200마리 퇴치,4
아르카나,번개구름의 정령 200마리 퇴치,4
아르카나,맹독의 정령 200마리 퇴치,5
아르카나,폭발의 정령 200마리 퇴치,6
아르카나,동굴 정령의 기운 50개 회수,3
아르카나,혼돈의 정령 200마리 퇴치,1
아르카나,절망의 정령 200마리 퇴치,2
아르카나,비탄의 정령 200마리 퇴치,2
아르카나,숲의 정령의 기운 50개 회수,4
아르카나,부조화의 정령 200마리 퇴치,2
모라스,,
모라스,기억의 파편 100개 수집,1
모라스,기억속의 제네로이드 B형 200마리 퇴치,2
모라스,맛 좋은 해산물 50개 수집,2
모라스,이름 모를 고양이 200마리 퇴치,4
모라스,반짝이는 가루 50개 수집,4
모라스,반마력석 파편 30개 회수,3
모라스,빼앗긴 과일 50개 회수 ,3
모라스,강한 형님 200마리 퇴치,3
모라스,그림자의 핵 50개 수집,7
모라스,푸른 그림자 200마리 퇴치,7
모라스,붉은 그림자 200마리 퇴치,7
모라스,실험의 부산물 50개 수집,5
모라스,실험의 부산물 A 200마리 퇴치,5
모라스,폐쇄 구역 안정화,4
모라스,연구실 방어,4
모라스,의식에 휘말린 근위병 200마리 퇴치,6
모라스,망가진 자루 50개 수집,6
모라스,의식에 휘말린 마법사 200마리 퇴치,6
모라스,부서진 활대 50개 수집,6
모라스,기억의 잔해물 50개 수집,6
에스페라,,
에스페라,아투인 200마리 퇴치,2
에스페라,아투스 200마리 퇴치,1
에스페라,벨라리온 200마리 퇴치,1
에스페라,벨라리스 200마리 퇴치,2
에스페라,아투인의 등껍질 50개 수집,3
에스페라,아투스의 등껍질 50개 수집,2
에스페라,벨라리온의 비늘 50개 수집,2
에스페라,벨라리스의 비늘 50개 수집,3
에스페라,아라냐 200마리 퇴치,6
에스페라,아라네아 200마리 퇴치,4
에스페라,빛의 주시자 200마리 퇴치,5
에스페라,어둠의 주시자 200마리 퇴치,5
에스페라,아라냐의 발톱 50개 수집,6
에스페라,아라네아의 발톱 50개 수집,4
에스페라,빛의 주시자의 고리 50개 수집,5
에스페라,어둠의 주시자의 고리 50개 수집,5
에스페라,빛의 집행자 200마리 퇴치,7
에스페라,어둠의 집행자 200마리 퇴치,7
에스페라,빛의 집행자 고리 50개 수집,7
에스페라,어둠의 집행자 고리 50개 수집,7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
